tam_vet,tipo_busca,alvo,mili,nano;seg
1,Linear,0,0.000238,238,0
1,Binary,0,0.000147,147,0
1,Ternary,0,0.000171,171,0
2,Linear,0,0.000127,127,0
2,Binary,0,0.000129,129,0
2,Ternary,0,0.000102,102,0
3,Linear,2,0.000184,184,0
3,Binary,2,0.000118,118,0
3,Ternary,2,0.000165,165,0
4,Linear,1,0.00015,150,0
4,Binary,1,0.000186,186,0
4,Ternary,1,0.000136,136,0
5,Linear,2,0.00019,190,0
5,Binary,2,0.000121,121,0
5,Ternary,2,0.000125,125,0
6,Linear,1,0.000136,136,0
6,Binary,1,0.000143,143,0
6,Ternary,1,0.000223,223,0
7,Linear,0,0.000149,149,0
7,Binary,0,0.000165,165,0
7,Ternary,0,0.000147,147,0
8,Linear,5,0.000227,227,0
8,Binary,5,0.000158,158,0
8,Ternary,5,0.000216,216,0
9,Linear,6,0.000145,145,0
9,Binary,6,0.000161,161,0
9,Ternary,6,0.000138,138,0
10,Linear,9,0.000239,239,0
10,Binary,9,0.000107,107,0
10,Ternary,9,0.00015,150,0
11,Linear,4,0.000158,158,0
11,Binary,4,0.000214,214,0
11,Ternary,4,0.000162,162,0
12,Linear,6,0.000242,242,0
12,Binary,6,0.000121,121,0
12,Ternary,6,0.000194,194,0
13,Linear,10,0.000289,289,0
13,Binary,10,0.000131,131,0
13,Ternary,10,0.000156,156,0
14,Linear,0,0.000111,111,0
14,Binary,0,0.0002,200,0
14,Ternary,0,0.00021,210,0
15,Linear,0,0.000129,129,0
15,Binary,0,0.000194,194,0
15,Ternary,0,0.000169,169,0
16,Linear,8,0.000209,209,0
16,Binary,8,0.000107,107,0
16,Ternary,8,0.00015,150,0
17,Linear,11,0.000276,276,0
17,Binary,11,0.000156,156,0
17,Ternary,11,0.000207,207,0
18,Linear,0,0.000127,127,0
18,Binary,0,0.000136,136,0
18,Ternary,0,0.000136,136,0
19,Linear,7,0.000209,209,0
19,Binary,7,0.000168,168,0
19,Ternary,7,0.000201,201,0
20,Linear,1,0.000136,136,0
20,Binary,1,0.000143,143,0
20,Ternary,1,0.000162,162,0
21,Linear,8,0.000243,243,0
21,Binary,8,0.000151,151,0
21,Ternary,8,0.000107,107,0
22,Linear,15,0.000374,374,0
22,Binary,15,0.000132,132,0
22,Ternary,15,0.000181,181,0
23,Linear,13,0.000291,291,0
23,Binary,13,0.000205,205,0
23,Ternary,13,0.00025,250,0
24,Linear,22,0.000446,446,0
24,Binary,22,0.000254,254,0
24,Ternary,22,0.00019,190,0
25,Linear,21,0.00038,380,0
25,Binary,21,0.000172,172,0
25,Ternary,21,0.000125,125,0
26,Linear,13,0.000269,269,0
26,Binary,13,0.000113,113,0
26,Ternary,13,0.000154,154,0
27,Linear,2,0.000175,175,0
27,Binary,2,0.000136,136,0
27,Ternary,2,0.000165,165,0
28,Linear,18,0.000392,392,0
28,Binary,18,0.000198,198,0
28,Ternary,18,0.000118,118,0
29,Linear,12,0.000264,264,0
29,Binary,12,0.000172,172,0
29,Ternary,12,0.000123,123,0
30,Linear,21,0.000415,415,0
30,Binary,21,0.000169,169,0
30,Ternary,21,0.000186,186,0
31,Linear,28,0.000482,482,0
31,Binary,28,0.000178,178,0
31,Ternary,28,0.000234,234,0
32,Linear,24,0.000428,428,0
32,Binary,24,0.000145,145,0
32,Ternary,24,0.000132,132,0
33,Linear,8,0.000193,193,0
33,Binary,8,0.000229,229,0
33,Ternary,8,0.000178,178,0
34,Linear,1,0.000154,154,0
34,Binary,1,0.000207,207,0
34,Ternary,1,0.000187,187,0
35,Linear,25,0.000457,457,0
35,Binary,25,0.000196,196,0
35,Ternary,25,0.00022,220,0
36,Linear,11,0.000247,247,0
36,Binary,11,0.0002,200,0
36,Ternary,11,0.000261,261,0
37,Linear,23,0.000421,421,0
