tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
400,0.356395140,0.570751980,1.215501460,0.152542100,0.067359060,0.476572400,0.290822180
800,1.437383860,1.994567560,5.192237920,0.331990540,0.167793200,2.414972880,0.698383580
1200,3.912370440,4.566684840,11.283784680,0.474597220,0.238501940,4.980535520,0.548840060
1600,5.686660960,7.850970660,20.098068060,0.645022440,0.345105320,10.358659100,0.670802480
2000,8.448607140,12.411511900,31.707716520,0.870615580,0.438594040,15.897278060,0.816376060
2400,12.432612920,17.502485400,45.618868360,1.000223880,0.540844760,24.742598140,0.957708600
2800,17.388680780,23.914935720,61.726341140,1.174485440,0.658046080,31.344623140,1.089662520
3200,22.641745320,30.562057700,80.233772480,1.321075880,0.712380720,41.861130900,1.202346000
3600,27.269455600,38.307059000,106.654564240,1.481518260,0.856901820,43.474003460,1.337880300
4000,34.036437500,47.410049360,125.625329760,1.630288760,0.996016400,63.778710040,1.465625300
4400,40.598686220,56.756476200,152.192561780,1.820385060,1.175574800,76.602172500,1.595529400
4800,47.998644720,67.754691100,180.032105720,2.006646900,1.173762900,103.000927160,1.755771620
5200,56.367705680,79.242447240,211.769246080,2.179998920,1.283625240,117.363910860,1.852010800
5600,65.170172000,91.787319160,245.848573580,2.362912340,1.424541540,148.192511500,1.988228060
6000,75.282967300,105.443591220,283.493642080,2.528298360,1.495633900,145.126619080,2.117676160
6400,85.346581280,119.795317760,322.955003760,2.737001460,1.761534880,182.201896080,2.253593220
6800,96.829361020,135.704242980,365.090064800,2.873531860,1.935231140,192.274274540,2.390391880
7200,108.810315840,152.166726620,409.635215460,3.039998600,1.811712260,223.773321020,2.501711720
7600,121.067437720,168.895123280,456.530357020,3.202720840,2.005078440,259.954634680,2.652145920
8000,133.870990360,186.956887940,505.760841860,3.354855000,2.224913780,293.497710280,2.749895480
8400,147.952536840,206.096531580,558.356365540,3.529528780,2.292703520,284.355068900,2.921099120
8800,162.583451800,227.204051340,613.785105800,3.746292100,2.351824100,383.943961740,3.015385120
9200,177.659423480,248.061647620,671.746229800,3.920801200,2.408028640,377.999480620,3.175472260
9600,193.435377180,268.771889900,732.220352500,4.110559180,2.506796000,425.454565540,3.337291240
10000,209.922832120,291.824045340,794.407796860,4.312751640,2.743436400,424.566202680,3.424515540
