tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
100,0.021116600,0.061579700,0.137281000,0.034376700,0.021384300,0.081375600,0.018092800
200,0.081528900,0.232934600,0.565105100,0.072466500,0.046942700,0.302669500,0.037113400
300,0.177670900,0.511428900,1.302073400,0.111347000,0.083332700,0.957539300,0.055431000
400,0.313158000,0.901178600,2.344060200,0.150508700,0.113015000,1.404824800,0.073929800
500,0.470930200,1.395263800,3.659848300,0.190138500,0.129986900,2.806730100,0.091371400
600,0.652730200,1.995283100,5.135630100,0.235191100,0.184077000,3.037273400,0.108988800
700,0.907489300,2.728810500,7.079804100,0.275742800,0.206658900,3.689534700,0.126314400
800,1.181713200,3.527910200,9.203918500,0.312767700,0.233441600,7.119620300,0.145566000
900,1.524988000,4.459355100,11.736436900,0.353317200,0.271116600,6.115206200,0.163263900
1000,1.903916400,5.489536600,14.438861500,0.394793100,0.292856400,10.832054200,0.180184100
1100,2.275260800,6.641259700,17.504079000,0.438234700,0.339161200,11.028540100,0.199557200
1200,2.739202000,7.888791200,20.951284600,0.480030300,0.363392200,11.838984200,0.216503800
1300,3.268423700,9.221871500,24.665186200,0.518368700,0.419336700,15.241796700,0.235349500
1400,3.774980200,10.682937100,28.610093100,0.560838000,0.447714800,19.653503600,0.255951500
1500,4.343791900,12.264230100,32.721364300,0.602174600,0.508957200,26.485762000,0.272810000
1600,4.968391500,13.909839500,37.236325200,0.647926600,0.519869500,23.667091700,0.291687300
1700,5.579503500,15.704475700,42.103129400,0.690024800,0.552133700,26.385015600,0.306436600
1800,6.346985800,17.603363900,47.514579700,0.731115500,0.592736500,30.534606000,0.323467800
1900,6.933134700,19.574351200,52.448717900,0.776383900,0.625790700,34.094842300,0.342090700
2000,7.669784700,21.782324600,58.177949000,0.817956100,0.722487200,40.310969300,0.362525200
2100,8.412690800,23.929525900,64.035321200,0.864251800,0.683891700,39.082734700,0.384874600
2200,9.277619500,26.250329800,70.293737500,0.907517900,0.736816500,54.914200400,0.399289100
2300,10.179956300,28.745593900,76.915091600,0.953130500,0.800796400,48.585723800,0.414601300
2400,11.071376200,31.149932500,83.451601600,0.992263500,0.775782900,65.332749900,0.433732400
2500,12.032126400,33.771023200,90.577056600,1.038589800,0.890327600,72.450410300,0.456631300
2600,12.956678400,36.551221000,98.026283900,1.078373500,0.889764700,64.498272100,0.467128500
2700,13.998410600,39.396545600,105.465719000,1.119381600,0.984188300,79.076548800,0.494771900
2800,15.050583600,42.367954700,113.410429000,1.162876500,0.987966700,71.193805100,0.509504800
2900,16.015023400,45.405982100,121.486274000,1.208867300,1.018946000,82.839733900,0.522477300
3000,17.209784400,48.581060100,130.267693100,1.243016000,1.007935700,92.188669300,0.540397200
