tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
100,0.043149400,0.037179000,0.094909600,0.032945300,0.044549500,0.008107900,0.073313600
200,0.170519100,0.138344000,0.378836600,0.066433000,0.173293700,0.018631000,0.100814700
300,0.384042400,0.300281500,0.852465900,0.101406500,0.386636900,0.031292600,0.126341300
400,0.679790000,0.535821000,1.514366500,0.134078600,0.683604200,0.042206600,0.153572400
500,1.067135100,0.833853900,2.373456400,0.163976000,1.059801000,0.053888700,0.177844500
600,1.529141000,1.229741600,3.398867600,0.202633800,1.518260600,0.070017000,0.202486600
700,2.079486400,1.700781500,4.624448700,0.238000600,2.059485900,0.082271700,0.227327800
800,2.714234300,2.249437800,6.029866700,0.270045700,2.687973500,0.094427900,0.257824200
900,3.441006100,2.896353300,7.629942400,0.301605800,3.397514800,0.103334700,0.279995500
1000,4.240451700,3.656486700,9.428397000,0.333173600,4.197442900,0.121117100,0.305987900
1100,5.131603900,4.641264100,11.550350100,0.381746300,5.189950700,0.152160900,0.343908700
1200,6.607417600,6.206267200,17.526813300,0.416670300,6.018923600,0.154588000,0.360119200
1300,7.167147500,6.505701900,15.920333500,0.443618000,7.085415000,0.164247900,0.383563400
1400,8.306904500,7.600629100,18.455973500,0.481174100,8.195530000,0.182246600,0.409521300
1500,9.542173000,8.802982400,21.242414400,0.512754400,9.409007600,0.195752500,0.437073500
1600,10.847226700,10.100366000,24.113798800,0.545248800,10.675823500,0.209188400,0.459869900
1700,12.239498200,11.523061100,27.213101400,0.573379600,12.056942300,0.221160900,0.486616000
1800,13.722493200,13.067917000,30.503173600,0.611537300,13.513974000,0.230016400,0.511951300
1900,15.292611400,14.629750000,34.001789000,0.639796100,15.039726600,0.245511700,0.538684300
2000,17.003996700,16.267586900,37.669034500,0.670553800,16.661811100,0.267764900,0.563280100
2100,18.677139400,18.020082200,41.633784400,0.705553100,18.377873100,0.290333700,0.589287900
2200,20.490793700,20.481854700,46.389098700,0.797734400,20.193467200,0.300889200,0.612985300
2300,22.687515000,22.189652900,51.074872500,0.788444700,23.795989200,0.428774700,0.827018500
2400,25.460675600,24.083418000,55.046374900,0.829432400,24.196915300,0.339676000,0.675419500
2500,26.767966700,26.244984200,59.688900400,0.885297400,26.266370500,0.341073400,0.693680700
2600,28.904248000,28.545316200,64.184837000,0.897662300,28.573960800,0.369293000,0.718118800
2700,31.194423700,30.884074500,69.733867700,0.938863000,31.378586800,0.376431300,0.750917900
2800,34.226699200,33.039966500,73.835757200,0.967571100,32.682392700,0.400164900,0.776627500
2900,35.665781600,35.639243400,79.230606800,1.000961900,35.056296900,0.402500900,0.795739200
3000,38.101113400,38.000806400,84.827177600,1.035522700,37.496900500,0.426928500,0.824521400
