tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
200,0.008386540,0.414515020,0.005432220,0.110671500,0.406848560,0.039549260,0.042028880
400,0.012902760,1.186064460,0.007599440,0.158578320,1.093742540,0.058882800,0.057154680
600,0.013286460,1.969303240,0.009599080,0.203854780,2.095766400,0.099117000,0.091089160
800,0.018088380,3.487834100,0.013324540,0.274548000,3.801582560,0.132651080,0.114103260
1000,0.022132580,5.439651360,0.015979500,0.341591840,6.760544200,0.164994160,0.143646620
1200,0.026530480,8.440539160,0.019183980,0.415012000,8.468167680,0.221622000,0.171772360
1400,0.031682340,10.686373360,0.022361620,0.485448060,11.668309880,0.257479260,0.200543360
1600,0.036155400,13.874491500,0.025552160,0.593126180,16.152820120,0.294649280,0.230149580
1800,0.039850080,17.580815680,0.029067140,0.628195860,19.306975140,0.329684400,0.259270560
2000,0.044216580,21.775657740,0.032993940,0.702048140,23.936782660,0.369789740,0.374937180
2200,0.049412600,26.097208280,0.035177360,0.782523540,29.086388580,0.443182300,0.410368560
2400,0.053037740,30.839413640,0.038451920,0.845787340,34.345764540,0.483935440,0.445984800
2600,0.057636920,36.184612920,0.041648580,0.915925420,40.066816640,0.524483680,0.483757480
2800,0.061870540,42.028803660,0.044796380,0.989221760,45.849711200,0.564183240,0.526740000
3000,0.066265280,48.140042480,0.047998120,1.065816360,52.357848640,0.604315160,0.559653340
3200,0.070762000,54.773142200,0.051407320,1.141601800,58.943122180,0.644672420,0.596643480
3400,0.075474920,61.981949820,0.054901920,1.215119160,66.927177720,0.684825040,0.633459420
3600,0.079614680,69.343626960,0.057638080,1.280841740,75.562702940,0.725382460,0.671156100
3800,0.084011680,77.204956520,0.060848920,1.354439600,85.206136800,0.766140180,0.708591320
4000,0.088410440,85.871951420,0.064043700,1.434096200,95.337418160,0.805741380,0.748984700
4200,0.092852900,94.507122560,0.067103520,1.507357100,103.867972880,0.922799300,0.786107080
4400,0.097256900,103.711183920,0.070446100,1.581179600,113.092566220,0.968608980,0.820649180
4600,0.101957720,113.298959080,0.073449640,1.662455880,123.640576200,1.012836600,0.858309620
4800,0.106255720,123.472079480,0.076806220,1.731294620,136.138137420,1.056780120,0.908153440
5000,0.111769260,134.033915680,0.080013800,1.797923040,147.594465460,1.101779040,0.940123380
