tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
1000,3.786955600,6.518943340,17.538778520,0.334065220,5.711187880,0.241860600,0.227079340
2000,15.175538000,26.564340180,70.280416260,0.680968980,22.922097960,0.527975320,0.447758520
3000,33.925411220,60.134620340,158.494286420,1.031027120,51.437815240,0.857048200,0.669645740
4000,60.320069960,106.838799040,282.046841860,1.387122540,90.664194340,1.154138660,0.891310980
5000,94.113204820,167.526233180,440.076314140,1.769172340,141.833830700,1.510064540,1.118287860
6000,135.685057920,241.088402240,633.713951360,2.104132900,203.610481280,1.869587580,1.359046420
7000,184.539937360,329.014698040,862.983400100,2.492605180,277.269692820,2.182505040,1.566809020
8000,241.018612560,429.450868100,1128.858524440,2.831597220,363.352538340,2.509084540,1.790366960
9000,305.069891080,544.707361320,1426.319221420,3.207479180,458.391784560,2.954767420,2.013362500
10000,376.611597680,672.265537280,1762.510207660,3.577754840,566.363721340,3.296757040,2.246837800
11000,455.758375160,813.252194860,2136.791605000,3.933083460,685.320224760,3.648076640,2.464326140
12000,542.434463220,968.141693160,2542.237180160,4.282868000,815.184878340,4.019423120,2.688957620
13000,636.775040780,1137.398790740,2987.334943020,4.687612000,956.817745000,4.305450720,2.908978960
14000,738.525999340,1320.826747440,3466.104230840,5.047891340,1108.702662320,4.713513560,3.129420140
15000,847.432540220,1515.976888860,3976.890323900,5.410117080,1270.959438860,4.961641280,3.354489660
16000,963.793009860,1724.984637320,4526.745488660,5.756416740,1447.599365600,5.411652900,3.583093980
17000,1089.155602680,1949.815206620,5109.870333380,6.123835280,1632.771276000,5.962494040,3.806337860
18000,1220.413607360,2186.396031620,5733.899128280,6.535822500,1831.860932020,6.359429280,4.029120360
19000,1363.108066200,2437.781623980,6386.847671260,6.904653600,2038.753738860,6.717892520,4.279329100
20000,1506.780447500,2699.644696800,7091.969594860,7.255252780,2259.672073580,7.090034220,4.538047380
21000,1662.347423540,2981.250178880,7813.579457740,7.622711160,2488.973686720,7.395999800,4.691640960
22000,1823.548342880,3272.825912260,8567.350614120,8.002820040,2730.678170120,7.831008700,4.907483780
23000,2019.146853100,3717.491162920,9403.452471680,8.374154980,2986.498275220,8.162969460,5.142588940
24000,2172.172704180,3899.248819400,10197.701976320,8.719628120,3253.660728640,8.633595080,5.405153240
25000,2354.404797300,4219.509983240,11292.064917820,9.101347800,3534.036433120,8.879991000,5.588564420
26000,2554.195703600,4990.795445600,12348.196670720,9.552510900,4010.521563160,12.083125960,6.817965080
27000,3034.957770420,4934.485201940,12918.024643780,9.895577160,4113.708877080,9.663304120,6.033341360
28000,2954.246066900,5295.691628720,13889.943443660,10.265074840,4436.783732380,10.657683400,6.264497420
29000,3207.986415020,5802.076062740,14907.405167480,10.608921460,4745.821261620,10.302473240,6.481100840
30000,3388.287310200,6076.813922300,15928.752626380,11.014981460,5082.993056760,10.662388320,6.704129380
31000,3618.759423600,6490.008430700,17025.438905940,11.386349360,5465.248661580,11.093845460,7.011885280
32000,3859.570479320,6908.071069240,18116.772954880,11.704618340,5777.236332220,11.608254580,7.150989680
33000,4101.373286080,7348.046576340,19276.780356800,12.113672280,6161.575094160,12.367245260,7.391344640
34000,4365.600364560,7866.823283120,20500.259597300,12.531716880,6531.356180660,12.775173840,7.604910920
35000,4612.699573000,8275.452765820,21691.716524020,12.868250820,6919.719520040,13.159477340,7.822755700
36000,4883.704138240,8752.302118720,22947.484409220,13.330607080,7319.375041100,13.653597120,8.110399460
37000,5157.873013140,9247.773092460,24252.533047620,13.665560340,7733.693994840,13.847294140,8.278321660
38000,5441.075590500,9755.852698840,25567.344351820,14.062599960,8151.825179060,14.355695840,8.498125360
39000,5727.763170980,10269.706305180,26924.825974040,14.410807860,8583.328887920,14.599736020,8.718295040
40000,6023.617143900,10799.033611480,28318.083009420,14.782227080,9029.357612620,15.050754680,8.941489040
41000,6328.769723320,11346.194083960,29750.778139300,15.053050040,9486.759522720,15.364772400,9.166431900
42000,6641.272693300,11905.667815160,31220.665167220,15.539295980,9955.254745460,15.831354760,9.386361200
43000,6961.202803600,12479.167719040,32728.089265200,15.907751020,10435.706407260,16.388104360,9.609364520
44000,7289.031225900,13065.911341800,34265.991712140,16.298931760,10926.545852400,16.757053000,9.833772640
45000,7624.170087040,13666.946753080,35843.960647400,16.621125000,11429.460738960,17.054760420,10.063024580
46000,7966.642277460,14281.150049220,37456.015318240,17.048131320,11943.352769480,17.478216920,10.290145880
47000,8316.914384560,14910.611134380,39102.570462280,17.449922140,12468.154367660,17.810435040,10.501983740
48000,8675.719171620,15550.229533660,40799.869000180,17.756584940,13014.059189500,18.449808180,10.736484260
49000,9044.236125420,16234.865794960,42740.313415780,18.157150860,13578.141968400,18.536053020,10.996776680
50000,9449.947286240,16929.908500220,44949.568664560,28.444387620,14217.355336300,19.139731420,11.285821920
