tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
1000,0.019073720,3.759634220,0.005954600,0.337779760,4.761818940,0.056183160,1.399815360
2000,0.019955220,11.675468860,0.011873160,0.680902420,18.919852080,0.124670320,1.719623840
3000,0.029896780,26.211559760,0.017798940,1.046005660,41.644292180,0.205512160,2.040676680
4000,0.039861040,46.564886240,0.023784100,1.371535740,75.498178340,0.274855520,2.394668060
5000,0.049802940,74.344371400,0.029843380,1.764747680,117.637039680,0.373760460,2.726585380
6000,0.059787920,105.744653980,0.035634200,2.113318860,169.324931500,0.448153000,3.061301500
7000,0.069633640,142.353614060,0.041552720,2.463784540,230.541702340,0.523214660,3.369222960
8000,0.079599180,185.894189380,0.047431400,2.771008640,304.071084320,0.598854100,3.689669140
9000,0.089633560,235.230232940,0.053513800,3.159857860,386.178495900,0.729788080,4.025697540
10000,0.099562920,290.404525100,0.059321680,3.524265940,474.689161060,0.811074100,4.330653620
11000,0.109458960,352.494935620,0.065201660,3.947894680,576.066375360,0.897712040,4.662795300
12000,0.119532480,420.584429260,0.071617900,4.267158740,688.995621120,0.974550520,5.021446940
13000,0.129367620,494.947565940,0.077113140,4.622602840,796.471379040,1.054988480,5.310569600
14000,0.139319100,568.960983160,0.083027760,4.965525640,922.310539840,1.136412520,5.634549060
15000,0.149198240,653.111982680,0.088954980,5.290274360,1056.191494560,1.217731280,5.953186940
16000,0.159371880,743.115465920,0.094933700,5.584612040,1203.667598340,1.299322640,6.245488740
17000,0.169203940,838.872929540,0.100787260,5.968024860,1349.988190700,1.486311400,6.602274720
18000,0.179085540,940.448992760,0.106709700,6.378053400,1512.205897920,1.574766320,6.937843520
19000,0.189060100,1047.823124180,0.112636740,6.756902060,1682.917942620,1.662593080,7.248813600
20000,0.199032720,1160.985913000,0.118545720,7.111042600,1874.240150560,1.750619840,7.584606160
21000,0.208752880,1279.908355240,0.124498580,7.514775240,2064.246931720,1.837891620,7.882217960
22000,0.218623440,1404.793825680,0.130596180,7.917174920,2268.941741100,1.926430200,8.226477400
23000,0.228757500,1535.255020120,0.136594220,8.271734240,2467.816748620,2.015585660,8.541876480
24000,0.238701540,1671.651306780,0.142258580,8.584641840,2694.651024820,2.101271620,8.878433760
25000,0.248722720,1813.843182080,0.148323800,8.956780840,2919.652001800,2.189902440,9.209630000
26000,0.258444220,1961.824082560,0.154175220,9.338020280,3157.917899900,2.277261380,9.522338960
27000,0.268271020,2115.580144440,0.160048620,9.699346160,3413.826998420,2.364731480,9.877922500
28000,0.278610620,2275.116634380,0.166001660,10.031586200,3675.399624220,2.454830260,10.180372080
29000,0.288508100,2443.199043860,0.171908500,10.364070780,3935.140640500,2.542613680,10.500979320
30000,0.298580080,2614.553928060,0.177753780,10.694215580,4209.127691960,2.629998700,10.835729080
31000,0.308330700,2791.678518900,0.184089940,10.987063580,4497.992095800,2.718724120,11.128897440
32000,0.318894960,2974.624773120,0.193993900,11.292043620,4804.538384240,2.806942120,11.458787160
33000,0.329170300,3163.366383720,0.195744800,11.621060120,5095.098867940,3.101978660,11.803826740
34000,0.338105740,3358.329671340,0.201516760,12.079630740,5421.938438700,3.197054720,12.142859520
35000,0.347503800,3558.376300060,0.207453480,12.512205260,5733.145602520,3.287068120,12.467043480
36000,0.357689360,3761.586321980,0.213423420,12.868793740,6065.938434180,3.381897960,12.805794260
37000,0.368281340,3972.874191260,0.219402360,13.242912860,6405.592453940,3.476062360,13.130903980
38000,0.377386820,4190.326758560,0.225429160,13.632191060,6744.412445380,3.570652220,13.502194580
39000,0.387936300,4413.763943480,0.231235400,13.985071780,7102.016083900,3.663801420,13.831421960
40000,0.397708420,4642.557936480,0.237078140,14.340157120,7488.816556560,3.759340920,14.134828960
41000,0.407943620,4877.710663820,0.243062440,14.644707840,7871.736422640,3.852903300,14.467466700
42000,0.417030160,5118.552971360,0.248943320,15.143526980,8268.821385440,3.946808480,14.747775520
43000,0.427506280,5365.204206100,0.254824380,15.512743700,8693.638975620,4.041608600,15.119698520
44000,0.437350960,5617.590050900,0.260791600,15.963405940,9086.130316200,4.135977760,15.418532340
45000,0.446914560,5876.432573400,0.266719420,16.266890240,9490.265816320,4.229903460,15.763557940
46000,0.457317860,6140.378686240,0.272711820,16.670148220,9918.444817080,4.323383680,16.072279220
47000,0.467338320,6410.187633580,0.278566840,16.995235100,10365.638402080,4.419751740,16.373353400
48000,0.476638120,6685.852950560,0.284468160,17.306210860,10834.700976960,4.515578880,16.729883820
49000,0.486747480,6967.282159520,0.290442680,17.586764540,11294.045638640,4.608907680,17.037045640
50000,0.496741140,7254.505421680,0.296442840,18.053289320,11745.146966080,4.701304580,17.354646720
